antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Dress'}),frozenset({'Shoes'}),0.6566265060240963,0.6305220883534136,0.4146586345381526,0.6314984709480123,1.0015485303570386,1.0,0.0006411186916340794,1.0026496025596163,0.004502782379678524,0.475258918296893,0.002642600717989813,0.6445708915249615
frozenset({'Shoes'}),frozenset({'Dress'}),0.6305220883534136,0.6566265060240963,0.4146586345381526,0.6576433121019108,1.0015485303570386,1.0,0.0006411186916340794,1.0029700196133373,0.00418465101589689,0.475258918296893,0.0029612247178457765,0.6445708915249615
frozenset({'Mobile'}),frozenset({'Headphones'}),0.6315261044176707,0.6516064257028112,0.4186746987951807,0.6629570747217807,1.0174194860137034,1.0,0.007168231157561988,1.0336771614760933,0.04646528009200278,0.4843205574912892,0.032579960872892076,0.6527420196413218
frozenset({'Headphones'}),frozenset({'Mobile'}),0.6516064257028112,0.6315261044176707,0.4186746987951807,0.6425269645608629,1.0174194860137034,1.0,0.007168231157561988,1.030773957900568,0.049143394218342996,0.4843205574912892,0.029855195374984923,0.6527420196413218
frozenset({'Laptop'}),frozenset({'Mobile'}),0.6295180722891566,0.6315261044176707,0.3985943775100402,0.6331738437001596,1.0026091388320493,1.0,0.0010372816567475462,1.0044918805657417,0.007024226413549273,0.4621653084982539,0.004471793802068125,0.6321672080186014
frozenset({'Mobile'}),frozenset({'Laptop'}),0.6315261044176707,0.6295180722891566,0.3985943775100402,0.631160572337043,1.0026091388320493,1.0,0.0010372816567475462,1.0044531574574163,0.007062505576565891,0.4621653084982539,0.004433414763400861,0.6321672080186014
"frozenset({'Dress', 'Mobile'})",frozenset({'Headphones'}),0.4006024096385542,0.6516064257028112,0.2660642570281124,0.6641604010025063,1.019266193218022,1.0,0.00502915275560073,1.0373808667505844,0.03153503365886043,0.33844189016602805,0.03603388875647338,0.536240447034381
frozenset({'Headphones'}),"frozenset({'Dress', 'Mobile'})",0.6516064257028112,0.4006024096385542,0.2660642570281124,0.40832049306625573,1.0192661932180218,1.0,0.00502915275560073,1.0130443649598393,0.05425479854276564,0.33844189016602805,0.012876400492446769,0.536240447034381
"frozenset({'Dress', 'Shoes'})",frozenset({'Headphones'}),0.4146586345381526,0.6516064257028112,0.2720883534136546,0.6561743341404358,1.0070102262001142,1.0,0.0018941226754407015,1.0132855365122462,0.01189293196534013,0.3426042983565108,0.013111345256121208,0.5368699097512657
"frozenset({'Dress', 'Headphones'})",frozenset({'Shoes'}),0.42369477911646586,0.6305220883534136,0.2720883534136546,0.6421800947867299,1.0184894496936034,1.0,0.004939436460702273,1.032580653740791,0.0315003150031502,0.3478818998716303,0.03155264784669295,0.536854378603556
"frozenset({'Shoes', 'Headphones'})",frozenset({'Dress'}),0.40963855421686746,0.6566265060240963,0.2720883534136546,0.6642156862745098,1.0115578341428315,1.0,0.003108820825470593,1.022601354322399,0.01935386700805806,0.3426042983565108,0.02210182318541458,0.5392943874797625
frozenset({'Dress'}),"frozenset({'Shoes', 'Headphones'})",0.6566265060240963,0.40963855421686746,0.2720883534136546,0.4143730886850153,1.0115578341428315,1.0,0.003108820825470593,1.0080845575513544,0.033275069592801576,0.3426042983565108,0.008019721650128018,0.5392943874797625
frozenset({'Shoes'}),"frozenset({'Dress', 'Headphones'})",0.6305220883534136,0.42369477911646586,0.2720883534136546,0.4315286624203822,1.0184894496936034,1.0,0.004939436460702273,1.0137806126466653,0.04913364351034841,0.3478818998716303,0.013593288799130063,0.536854378603556
frozenset({'Headphones'}),"frozenset({'Dress', 'Shoes'})",0.6516064257028112,0.4146586345381526,0.2720883534136546,0.41756548536209553,1.0070102262001142,1.0,0.0018941226754407015,1.0049908629225899,0.01998149664493745,0.3426042983565108,0.004966077908485692,0.5368699097512657
"frozenset({'Dress', 'Mobile'})",frozenset({'Laptop'}),0.4006024096385542,0.6295180722891566,0.2540160642570281,0.6340852130325815,1.0072549795541486,1.0,0.0018296075869744244,1.0124814325796339,0.012016604762945297,0.3272962483829237,0.012327566884691605,0.518796992481203
frozenset({'Laptop'}),"frozenset({'Dress', 'Mobile'})",0.6295180722891566,0.4006024096385542,0.2540160642570281,0.4035087719298246,1.0072549795541486,1.0,0.0018296075869744244,1.004872430900071,0.019441498762813935,0.3272962483829237,0.004848805430662162,0.518796992481203
"frozenset({'Dress', 'Mobile'})",frozenset({'Shoes'}),0.4006024096385542,0.6305220883534136,0.25301204819277107,0.631578947368421,1.0016761649346295,1.0,0.0004233802680602139,1.0028686173264487,0.002791736460078309,0.3251612903225807,0.0028604118993135206,0.5164264163593697
frozenset({'Shoes'}),"frozenset({'Dress', 'Mobile'})",0.6305220883534136,0.4006024096385542,0.25301204819277107,0.4012738853503185,1.0016761649346297,1.0,0.0004233802680602139,1.001121507305819,0.004528985507246604,0.3251612903225807,0.001120250936209772,0.5164264163593697
"frozenset({'Laptop', 'Mobile'})",frozenset({'Headphones'}),0.3985943775100402,0.6516064257028112,0.2600401606425703,0.6523929471032746,1.0012070497917742,1.0,0.00031350300801602504,1.0022626738839415,0.002004628048033886,0.3290978398983482,0.0022575657488802894,0.5257342239368453
"frozenset({'Laptop', 'Headphones'})",frozenset({'Mobile'}),0.40963855421686746,0.6315261044176707,0.2600401606425703,0.6348039215686275,1.0051903114186853,1.0,0.0013427202787051895,1.0089754993126874,0.008746355685131242,0.3329048843187661,0.008895656355185412,0.5232843137254902
frozenset({'Mobile'}),"frozenset({'Laptop', 'Headphones'})",0.6315261044176707,0.40963855421686746,0.2600401606425703,0.411764705882353,1.0051903114186853,1.0,0.0013427202787051895,1.0036144578313255,0.014013234721681663,0.3329048843187661,0.0036014405762305754,0.5232843137254902
frozenset({'Headphones'}),"frozenset({'Laptop', 'Mobile'})",0.6516064257028112,0.3985943775100402,0.2600401606425703,0.39907550077041604,1.0012070497917742,1.0,0.00031350300801602504,1.000800638451241,0.003460438618940339,0.3290978398983482,0.000799997942127473,0.5257342239368453
"frozenset({'Shoes', 'Mobile'})",frozenset({'Headphones'}),0.392570281124498,0.6516064257028112,0.2570281124497992,0.6547314578005115,1.0047958890128035,1.0,0.001226794729117242,1.009051018890376,0.007857696280991542,0.3265306122448979,0.008969832764580427,0.5245922312115038
frozenset({'Headphones'}),"frozenset({'Shoes', 'Mobile'})",0.6516064257028112,0.392570281124498,0.2570281124497992,0.3944530046224961,1.0047958890128035,1.0,0.001226794729117242,1.003109128626465,0.013700018011527041,0.3265306122448979,0.003099491907448141,0.5245922312115038
"frozenset({'Laptop', 'Shoes'})",frozenset({'Mobile'}),0.38755020080321284,0.6315261044176707,0.24497991967871485,0.6321243523316062,1.0009473051228615,1.0,0.00023185109917583935,1.00162622320267,0.0015452835259340194,0.3164721141374838,0.0016235828944954978,0.5100208407127029
frozenset({'Mobile'}),"frozenset({'Laptop', 'Shoes'})",0.6315261044176707,0.38755020080321284,0.24497991967871485,0.38791732909379967,1.0009473051228615,1.0,0.00023185109917583935,1.0005998018046212,0.0025684549068658085,0.3164721141374838,0.000599442258072917,0.5100208407127029
"frozenset({'Dress', 'Shoes', 'Mobile'})",frozenset({'Headphones'}),0.25301204819277107,0.6516064257028112,0.1706827309236948,0.6746031746031746,1.0352923912245946,1.0,0.005818454541055812,1.0706729356450193,0.0456356736242886,0.23255813953488377,0.06600795937971744,0.4682723114926505
"frozenset({'Dress', 'Headphones', 'Mobile'})",frozenset({'Shoes'}),0.2660642570281124,0.6305220883534136,0.1706827309236948,0.6415094339622642,1.017425790169451,1.0,0.002923339946129949,1.0306489114352149,0.02333628389796449,0.23513139695712315,0.029737489745693516,0.4561050354524697
"frozenset({'Headphones', 'Shoes', 'Mobile'})",frozenset({'Dress'}),0.2570281124497992,0.6566265060240963,0.1706827309236948,0.6640625000000001,1.0113245412844039,1.0,0.0019112594958146378,1.0221350518352486,0.015071542130366086,0.22972972972972977,0.021655701754386435,0.4620006689602447
